"average_home_value","year"
371433.6096856749,2011
379557.4982290437,2012
396115.0972654331,2013
412003.45427613374,2014
445958.7699342576,2015
499277.60819420393,2016
534864.3933102275,2017
559402.8424496205,2018
596705.637017894,2019
636147.7313349714,2020
696689.1782119791,2021
734835.7929143682,2022
